val,id,lbl
204962002,http://purl.obolibrary.org/obo/HP_0000003,Multicystic kidney dysplasia
82525005,http://purl.obolibrary.org/obo/HP_0000003,Multicystic kidney dysplasia
263681008,http://purl.obolibrary.org/obo/HP_0000006,Autosomal dominant inheritance
258211005,http://purl.obolibrary.org/obo/HP_0000007,Autosomal recessive inheritance
197927001,http://purl.obolibrary.org/obo/HP_0000010,Recurrent urinary tract infections
397732007,http://purl.obolibrary.org/obo/HP_0000011,Neurogenic bladder
398064005,http://purl.obolibrary.org/obo/HP_0000011,Neurogenic bladder
75088002,http://purl.obolibrary.org/obo/HP_0000012,Urinary urgency
35850006,http://purl.obolibrary.org/obo/HP_0000013,Hypoplasia of the uterus
197866008,http://purl.obolibrary.org/obo/HP_0000015,Bladder diverticulum
130951007,http://purl.obolibrary.org/obo/HP_0000016,Urinary retention
267064002,http://purl.obolibrary.org/obo/HP_0000016,Urinary retention
449491000124101,http://purl.obolibrary.org/obo/HP_0000016,Urinary retention
139394000,http://purl.obolibrary.org/obo/HP_0000017,Nocturia
5972002,http://purl.obolibrary.org/obo/HP_0000019,Urinary hesitancy
165232002,http://purl.obolibrary.org/obo/HP_0000020,Urinary incontinence
396232000,http://purl.obolibrary.org/obo/HP_0000023,Inguinal hernia
9713002,http://purl.obolibrary.org/obo/HP_0000024,Prostatitis
48723006,http://purl.obolibrary.org/obo/HP_0000026,Male hypogonadism
425558002,http://purl.obolibrary.org/obo/HP_0000027,Azoospermia
48188009,http://purl.obolibrary.org/obo/HP_0000027,Azoospermia
204878001,http://purl.obolibrary.org/obo/HP_0000028,Cryptorchidism
17585008,http://purl.obolibrary.org/obo/HP_0000029,Testicular atrophy
31070006,http://purl.obolibrary.org/obo/HP_0000031,Epididymitis
26614003,http://purl.obolibrary.org/obo/HP_0000034,Hydrocele testis
386152007,http://purl.obolibrary.org/obo/HP_0000034,Hydrocele testis
55434001,http://purl.obolibrary.org/obo/HP_0000034,Hydrocele testis
55631001,http://purl.obolibrary.org/obo/HP_0000035,Abnormal testis morphology
111332007,http://purl.obolibrary.org/obo/HP_0000037,Male pseudohermaphroditism
406477003,http://purl.obolibrary.org/obo/HP_0000039,Epispadias
88673001,http://purl.obolibrary.org/obo/HP_0000040,Long penis
4287008,http://purl.obolibrary.org/obo/HP_0000041,Chordee
33927004,http://purl.obolibrary.org/obo/HP_0000044,Hypogonadotropic hypogonadism
204912007,http://purl.obolibrary.org/obo/HP_0000046,Small scrotum
204888000,http://purl.obolibrary.org/obo/HP_0000047,Hypospadias
236780002,http://purl.obolibrary.org/obo/HP_0000048,Bifid scrotum
204890004,http://purl.obolibrary.org/obo/HP_0000051,Perineal hypospadias
34911001,http://purl.obolibrary.org/obo/HP_0000054,Micropenis
289469003,http://purl.obolibrary.org/obo/HP_0000059,Hypoplastic labia majora
21321009,http://purl.obolibrary.org/obo/HP_0000062,Ambiguous genitalia
16924008,http://purl.obolibrary.org/obo/HP_0000065,Labial hypertrophy
12818004,http://purl.obolibrary.org/obo/HP_0000070,Ureterocele
95574003,http://purl.obolibrary.org/obo/HP_0000071,Ureteral stenosis
69758005,http://purl.obolibrary.org/obo/HP_0000072,Hydroureter
95576001,http://purl.obolibrary.org/obo/HP_0000072,Hydroureter
49496001,http://purl.obolibrary.org/obo/HP_0000073,Ureteral duplication
95575002,http://purl.obolibrary.org/obo/HP_0000074,Ureteropelvic junction obstruction
30275001,http://purl.obolibrary.org/obo/HP_0000075,Renal duplication
197811007,http://purl.obolibrary.org/obo/HP_0000076,Vesicoureteral reflux
44513007,http://purl.obolibrary.org/obo/HP_0000077,Abnormality of the kidney
90708001,http://purl.obolibrary.org/obo/HP_0000077,Abnormality of the kidney
236423003,http://purl.obolibrary.org/obo/HP_0000083,Renal insufficiency
42399005,http://purl.obolibrary.org/obo/HP_0000083,Renal insufficiency
41729002,http://purl.obolibrary.org/obo/HP_0000085,Horseshoe kidney
16507009,http://purl.obolibrary.org/obo/HP_0000086,Ectopic kidney
32659003,http://purl.obolibrary.org/obo/HP_0000089,Renal hypoplasia
204958008,http://purl.obolibrary.org/obo/HP_0000090,Nephronophthisis
29738008,http://purl.obolibrary.org/obo/HP_0000093,Proteinuria
197661001,http://purl.obolibrary.org/obo/HP_0000096,Glomerular sclerosis
82646005,http://purl.obolibrary.org/obo/HP_0000096,Glomerular sclerosis
236403004,http://purl.obolibrary.org/obo/HP_0000097,Focal segmental glomerulosclerosis
25821008,http://purl.obolibrary.org/obo/HP_0000097,Focal segmental glomerulosclerosis
248328003,http://purl.obolibrary.org/obo/HP_0000098,Tall stature
36171008,http://purl.obolibrary.org/obo/HP_0000099,Glomerulonephritis
52254009,http://purl.obolibrary.org/obo/HP_0000100,Nephrotic syndrome
28442001,http://purl.obolibrary.org/obo/HP_0000103,Polyuria
56574000,http://purl.obolibrary.org/obo/HP_0000103,Polyuria
718402002,http://purl.obolibrary.org/obo/HP_0000103,Polyuria
204942005,http://purl.obolibrary.org/obo/HP_0000104,Renal agenesis
300444006,http://purl.obolibrary.org/obo/HP_0000105,Enlarged kidney
204949001,http://purl.obolibrary.org/obo/HP_0000110,Renal dysplasia
90708001,http://purl.obolibrary.org/obo/HP_0000112,Nephropathy
82525005,http://purl.obolibrary.org/obo/HP_0000113,Polycystic kidney dysplasia
287085006,http://purl.obolibrary.org/obo/HP_0000119,Abnormality of the genitourinary system
42030000,http://purl.obolibrary.org/obo/HP_0000119,Abnormality of the genitourinary system
48638002,http://purl.obolibrary.org/obo/HP_0000121,Nephrocalcinosis
55726006,http://purl.obolibrary.org/obo/HP_0000122,Unilateral renal agenesis
52845002,http://purl.obolibrary.org/obo/HP_0000123,Nephritis
95568003,http://purl.obolibrary.org/obo/HP_0000124,Renal tubular dysfunction
56108007,http://purl.obolibrary.org/obo/HP_0000125,Pelvic kidney
43064006,http://purl.obolibrary.org/obo/HP_0000126,Hydronephrosis
37849005,http://purl.obolibrary.org/obo/HP_0000130,Abnormality of the uterus
146801000119103,http://purl.obolibrary.org/obo/HP_0000131,Uterine leiomyoma
44598004,http://purl.obolibrary.org/obo/HP_0000131,Uterine leiomyoma
95315005,http://purl.obolibrary.org/obo/HP_0000131,Uterine leiomyoma
386692008,http://purl.obolibrary.org/obo/HP_0000132,Menorrhagia
205681004,http://purl.obolibrary.org/obo/HP_0000133,Gonadal dysgenesis
38804009,http://purl.obolibrary.org/obo/HP_0000133,Gonadal dysgenesis
83579008,http://purl.obolibrary.org/obo/HP_0000133,Gonadal dysgenesis
95219002,http://purl.obolibrary.org/obo/HP_0000133,Gonadal dysgenesis
16041008,http://purl.obolibrary.org/obo/HP_0000134,Female hypogonadism
48130008,http://purl.obolibrary.org/obo/HP_0000135,Hypogonadism
5552004,http://purl.obolibrary.org/obo/HP_0000137,Abnormality of the ovary
79883001,http://purl.obolibrary.org/obo/HP_0000138,Ovarian cyst
24976005,http://purl.obolibrary.org/obo/HP_0000139,Uterine prolapse
65619001,http://purl.obolibrary.org/obo/HP_0000143,Rectovaginal fistula
17276009,http://purl.obolibrary.org/obo/HP_0000144,Decreased fertility
69878008,http://purl.obolibrary.org/obo/HP_0000147,Polycystic ovaries
87380008,http://purl.obolibrary.org/obo/HP_0000148,Vaginal atresia
716594002,http://purl.obolibrary.org/obo/HP_0000149,Ovarian gonadoblastoma
74751003,http://purl.obolibrary.org/obo/HP_0000150,Gonadoblastoma
248942000,http://purl.obolibrary.org/obo/HP_0000151,Aplasia of the uterus
128334002,http://purl.obolibrary.org/obo/HP_0000153,Abnormality of the mouth
40159009,http://purl.obolibrary.org/obo/HP_0000154,Wide mouth
26284000,http://purl.obolibrary.org/obo/HP_0000155,Oral ulcer
25273001,http://purl.obolibrary.org/obo/HP_0000158,Macroglossia
14582003,http://purl.obolibrary.org/obo/HP_0000160,Narrow mouth
3639002,http://purl.obolibrary.org/obo/HP_0000162,Glossoptosis
422775003,http://purl.obolibrary.org/obo/HP_0000164,Abnormality of the dentition
109620006,http://purl.obolibrary.org/obo/HP_0000169,Gingival fibromatosis
58569000,http://purl.obolibrary.org/obo/HP_0000169,Gingival fibromatosis
249380003,http://purl.obolibrary.org/obo/HP_0000171,Microglossia
32614006,http://purl.obolibrary.org/obo/HP_0000171,Microglossia
63567004,http://purl.obolibrary.org/obo/HP_0000175,Cleft palate
87979003,http://purl.obolibrary.org/obo/HP_0000175,Cleft palate
43437003,http://purl.obolibrary.org/obo/HP_0000176,Submucous cleft hard palate
253752000,http://purl.obolibrary.org/obo/HP_0000180,Lobulated tongue
253997002,http://purl.obolibrary.org/obo/HP_0000185,Cleft soft palate
18910001,http://purl.obolibrary.org/obo/HP_0000193,Bifid uvula
262016004,http://purl.obolibrary.org/obo/HP_0000194,Open mouth
249388005,http://purl.obolibrary.org/obo/HP_0000200,Short lingual frenulum
4602007,http://purl.obolibrary.org/obo/HP_0000201,Pierre-Robin sequence
253983005,http://purl.obolibrary.org/obo/HP_0000202,Orofacial cleft
66948001,http://purl.obolibrary.org/obo/HP_0000202,Orofacial cleft
80281008,http://purl.obolibrary.org/obo/HP_0000204,Cleft upper lip
45534005,http://purl.obolibrary.org/obo/HP_0000206,Glossitis
87866006,http://purl.obolibrary.org/obo/HP_0000211,Trismus
441787004,http://purl.obolibrary.org/obo/HP_0000212,Gingival overgrowth
441798003,http://purl.obolibrary.org/obo/HP_0000212,Gingival overgrowth
54711002,http://purl.obolibrary.org/obo/HP_0000212,Gingival overgrowth
300268000,http://purl.obolibrary.org/obo/HP_0000217,Xerostomia
56893005,http://purl.obolibrary.org/obo/HP_0000217,Xerostomia
87715008,http://purl.obolibrary.org/obo/HP_0000217,Xerostomia
27272007,http://purl.obolibrary.org/obo/HP_0000218,High palate
229727006,http://purl.obolibrary.org/obo/HP_0000220,Velopharyngeal insufficiency
232416001,http://purl.obolibrary.org/obo/HP_0000220,Velopharyngeal insufficiency
278714002,http://purl.obolibrary.org/obo/HP_0000220,Velopharyngeal insufficiency
52368004,http://purl.obolibrary.org/obo/HP_0000221,Furrowed tongue
697990000,http://purl.obolibrary.org/obo/HP_0000224,Hypogeusia
86276007,http://purl.obolibrary.org/obo/HP_0000225,Gingival bleeding
66383009,http://purl.obolibrary.org/obo/HP_0000230,Gingivitis
301348000,http://purl.obolibrary.org/obo/HP_0000233,Thin vermilion border
230745008,http://purl.obolibrary.org/obo/HP_0000238,Hydrocephalus
276709006,http://purl.obolibrary.org/obo/HP_0000239,Large fontanelles
28740008,http://purl.obolibrary.org/obo/HP_0000243,Trigonocephaly
36971009,http://purl.obolibrary.org/obo/HP_0000246,Sinusitis
7393007,http://purl.obolibrary.org/obo/HP_0000246,Sinusitis
13649004,http://purl.obolibrary.org/obo/HP_0000248,Brachycephaly
271611007,http://purl.obolibrary.org/obo/HP_0000252,Microcephaly
15805002,http://purl.obolibrary.org/obo/HP_0000255,Acute sinusitis
48069004,http://purl.obolibrary.org/obo/HP_0000262,Turricephaly
52404001,http://purl.obolibrary.org/obo/HP_0000265,Mastoiditis
72239002,http://purl.obolibrary.org/obo/HP_0000268,Dolichocephaly
82779003,http://purl.obolibrary.org/obo/HP_0000270,Delayed cranial suture closure
118930001,http://purl.obolibrary.org/obo/HP_0000271,Abnormality of the face
32003007,http://purl.obolibrary.org/obo/HP_0000271,Abnormality of the face
