val,id,lbl
E83.3,http://purl.obolibrary.org/obo/MONDO_0000044,hereditary hypophosphatemic rickets
E30.1,http://purl.obolibrary.org/obo/MONDO_0000088,precocious puberty
E83,http://purl.obolibrary.org/obo/MONDO_0000226,mineral metabolism disease
B35.5,http://purl.obolibrary.org/obo/MONDO_0000245,tinea imbricata
J35.02,http://purl.obolibrary.org/obo/MONDO_0000261,adenoiditis
H52.32,http://purl.obolibrary.org/obo/MONDO_0000309,aniseikonia
A92.1,http://purl.obolibrary.org/obo/MONDO_0000342,O'nyong'nyong fever
B68,http://purl.obolibrary.org/obo/MONDO_0000367,taeniasis
D30.3,http://purl.obolibrary.org/obo/MONDO_0000384,bladder benign neoplasm
H35.5,http://purl.obolibrary.org/obo/MONDO_0000390,vitelliform macular dystrophy
C84.4,http://purl.obolibrary.org/obo/MONDO_0000430,mature T-cell and NK-cell non-Hodgkin lymphoma
Q44.6,http://purl.obolibrary.org/obo/MONDO_0000447,autosomal dominant polycystic liver disease
H00-H06,http://purl.obolibrary.org/obo/MONDO_0000462,eye adnexa disorder
R47.01,http://purl.obolibrary.org/obo/MONDO_0000598,aphasia
R48.2,http://purl.obolibrary.org/obo/MONDO_0000665,apraxia
F45.22,http://purl.obolibrary.org/obo/MONDO_0000690,body dysmorphic disorder
K52.831,http://purl.obolibrary.org/obo/MONDO_0000703,collagenous colitis
K52.832,http://purl.obolibrary.org/obo/MONDO_0000704,lymphocytic colitis
Q13.4,http://purl.obolibrary.org/obo/MONDO_0000733,cornea plana
K13.3,http://purl.obolibrary.org/obo/MONDO_0000743,oral hairy leukoplakia
I46,http://purl.obolibrary.org/obo/MONDO_0000745,cardiac arrest
K60.3,http://purl.obolibrary.org/obo/MONDO_0000754,anal fistula
E88.81,http://purl.obolibrary.org/obo/MONDO_0000816,abdominal obesity-metabolic syndrome
R82.1,http://purl.obolibrary.org/obo/MONDO_0000866,obsolete hereditary myoglobinuria
H35.5,http://purl.obolibrary.org/obo/MONDO_0000910,retinitis pigmentosa 6
A00-A09,http://purl.obolibrary.org/obo/MONDO_0000916,intestinal infectious disease
N70-N77,http://purl.obolibrary.org/obo/MONDO_0000922,pelvic inflammatory disease
J98.2,http://purl.obolibrary.org/obo/MONDO_0000923,interstitial emphysema
J98.3,http://purl.obolibrary.org/obo/MONDO_0000924,compensatory emphysema
A52.2,http://purl.obolibrary.org/obo/MONDO_0000927,asymptomatic neurosyphilis
B56,http://purl.obolibrary.org/obo/MONDO_0000940,trypanosomiasis
C40.2,http://purl.obolibrary.org/obo/MONDO_0000952,cancer of long bone of lower limb
C40.3,http://purl.obolibrary.org/obo/MONDO_0000953,cancer of short bone of lower limb
F65.2,http://purl.obolibrary.org/obo/MONDO_0000983,exhibitionism
D56,http://purl.obolibrary.org/obo/MONDO_0000984,thalassemia
R09.1,http://purl.obolibrary.org/obo/MONDO_0000986,pleurisy
K82.4,http://purl.obolibrary.org/obo/MONDO_0000987,cholesterolosis of gallbladder
B26,http://purl.obolibrary.org/obo/MONDO_0000989,mumps infectious disease
G03.1,http://purl.obolibrary.org/obo/MONDO_0001007,chronic meningitis
N60.0,http://purl.obolibrary.org/obo/MONDO_0001009,solitary cyst of breast
N60.2,http://purl.obolibrary.org/obo/MONDO_0001012,obsolete breast fibroadenosis
A20.2,http://purl.obolibrary.org/obo/MONDO_0001024,pneumonic plague
Q76.1,http://purl.obolibrary.org/obo/MONDO_0001029,Klippel-Feil syndrome
J35.01,http://purl.obolibrary.org/obo/MONDO_0001039,tonsillitis
M76.5,http://purl.obolibrary.org/obo/MONDO_0001042,patellar tendinitis
I24.1,http://purl.obolibrary.org/obo/MONDO_0001049,Dressler syndrome
H60.2,http://purl.obolibrary.org/obo/MONDO_0001050,malignant otitis externa
C16,http://purl.obolibrary.org/obo/MONDO_0001056,gastric cancer
A66.4,http://purl.obolibrary.org/obo/MONDO_0001066,late yaws
F70-F79,http://purl.obolibrary.org/obo/MONDO_0001071,intellectual disability
F95.1,http://purl.obolibrary.org/obo/MONDO_0001074,chronic tic disorder
K90.1,http://purl.obolibrary.org/obo/MONDO_0001078,tropical sprue
K90.3,http://purl.obolibrary.org/obo/MONDO_0001079,pancreatic steatorrhea
N10-N16,http://purl.obolibrary.org/obo/MONDO_0001085,interstitial nephritis
N62,http://purl.obolibrary.org/obo/MONDO_0001100,hypertrophy of breast
N64.1,http://purl.obolibrary.org/obo/MONDO_0001101,fat necrosis of breast
H70.2,http://purl.obolibrary.org/obo/MONDO_0001109,petrositis
A20.0,http://purl.obolibrary.org/obo/MONDO_0001112,bubonic plague
I40.1,http://purl.obolibrary.org/obo/MONDO_0001113,Fiedler's myocarditis
I40.0,http://purl.obolibrary.org/obo/MONDO_0001114,bacterial myocarditis
J32.1,http://purl.obolibrary.org/obo/MONDO_0001120,chronic frontal sinusitis
J32.0,http://purl.obolibrary.org/obo/MONDO_0001122,chronic maxillary sinusitis
J32.3,http://purl.obolibrary.org/obo/MONDO_0001123,chronic sphenoidal sinusitis
K25,http://purl.obolibrary.org/obo/MONDO_0001126,gastric ulcer
F65.52,http://purl.obolibrary.org/obo/MONDO_0001132,sexual sadism disorder
F65.3,http://purl.obolibrary.org/obo/MONDO_0001135,voyeurism
A83.4,http://purl.obolibrary.org/obo/MONDO_0001137,Murray valley encephalitis
