val,id,lbl
64572001,http://purl.obolibrary.org/obo/MONDO_0000001,disease
386584007,http://purl.obolibrary.org/obo/MONDO_0000004,adrenocortical insufficiency
363009005,http://purl.obolibrary.org/obo/MONDO_0000015,classic complement early component deficiency
2109003,http://purl.obolibrary.org/obo/MONDO_0000050,isolated congenital growth hormone deficiency
205260006,http://purl.obolibrary.org/obo/MONDO_0000078,acrocephalopolysyndactyly
237113009,http://purl.obolibrary.org/obo/MONDO_0000082,pelvic organ prolapse
4945003,http://purl.obolibrary.org/obo/MONDO_0000087,polymicrogyria
400179000,http://purl.obolibrary.org/obo/MONDO_0000088,precocious puberty
702443003,http://purl.obolibrary.org/obo/MONDO_0000107,auriculocondylar syndrome
253184003,http://purl.obolibrary.org/obo/MONDO_0000115,Chiari malformation
28557005,http://purl.obolibrary.org/obo/MONDO_0000127,geleophysic dysplasia
128207002,http://purl.obolibrary.org/obo/MONDO_0000128,giant axonal neuropathy
28987007,http://purl.obolibrary.org/obo/MONDO_0000129,glutaric aciduria
234633000,http://purl.obolibrary.org/obo/MONDO_0000133,immunodeficiency-centromeric instability-facial anomalies syndrome
238626006,http://purl.obolibrary.org/obo/MONDO_0000136,keratosis follicularis spinulosa decalvans
28681006,http://purl.obolibrary.org/obo/MONDO_0000138,metaphyseal chondrodysplasia
700056005,http://purl.obolibrary.org/obo/MONDO_0000141,mosaic variegated aneuploidy syndrome
253975004,http://purl.obolibrary.org/obo/MONDO_0000151,symphalangism
28740008,http://purl.obolibrary.org/obo/MONDO_0000156,trigonocephaly
52781008,http://purl.obolibrary.org/obo/MONDO_0000158,developmental dysplasia of the hip
111504002,http://purl.obolibrary.org/obo/MONDO_0000171,"muscular dystrophy-dystroglycanopathy, type A"
77817004,http://purl.obolibrary.org/obo/MONDO_0000179,Neu-Laxova syndrome
71908006,http://purl.obolibrary.org/obo/MONDO_0000190,ventricular fibrillation
124138004,http://purl.obolibrary.org/obo/MONDO_0000193,cortisone reductase deficiency
699447001,http://purl.obolibrary.org/obo/MONDO_0000200,Zimmermann-Laband syndrome
276645004,http://purl.obolibrary.org/obo/MONDO_0000212,"hypercalcemia, infantile"
34225008,http://purl.obolibrary.org/obo/MONDO_0000212,"hypercalcemia, infantile"
768553002,http://purl.obolibrary.org/obo/MONDO_0000214,hypermanganesemia with dystonia
65049003,http://purl.obolibrary.org/obo/MONDO_0000222,seminal vesicle acute gonorrhea
359747000,http://purl.obolibrary.org/obo/MONDO_0000225,human monocytic ehrlichiosis
45744005,http://purl.obolibrary.org/obo/MONDO_0000226,mineral metabolism disease
415561000,http://purl.obolibrary.org/obo/MONDO_0000227,African tick-bite fever
472822008,http://purl.obolibrary.org/obo/MONDO_0000231,Far eastern spotted fever
186287003,http://purl.obolibrary.org/obo/MONDO_0000238,obsolete pestis minor
23892008,http://purl.obolibrary.org/obo/MONDO_0000239,adiaspiromycosis
721798004,http://purl.obolibrary.org/obo/MONDO_0000240,invasive aspergillosis
46939000,http://purl.obolibrary.org/obo/MONDO_0000241,Keshan disease
399329002,http://purl.obolibrary.org/obo/MONDO_0000242,tinea barbae
240699006,http://purl.obolibrary.org/obo/MONDO_0000245,tinea imbricata
409671005,http://purl.obolibrary.org/obo/MONDO_0000248,dengue shock syndrome
15699003,http://purl.obolibrary.org/obo/MONDO_0000249,secretory diarrhea
2946003,http://purl.obolibrary.org/obo/MONDO_0000250,osmotic diarrheal disease
95544006,http://purl.obolibrary.org/obo/MONDO_0000252,inflammatory diarrhea
402135006,http://purl.obolibrary.org/obo/MONDO_0000253,piedra
14560005,http://purl.obolibrary.org/obo/MONDO_0000254,cutaneous mycosis
399314004,http://purl.obolibrary.org/obo/MONDO_0000256,systemic mycosis
409966000,http://purl.obolibrary.org/obo/MONDO_0000257,acute diarrhea
70020005,http://purl.obolibrary.org/obo/MONDO_0000261,adenoiditis
53316003,http://purl.obolibrary.org/obo/MONDO_0000262,otomycosis
55130001,http://purl.obolibrary.org/obo/MONDO_0000263,laryngotracheitis
422588002,http://purl.obolibrary.org/obo/MONDO_0000265,aspiration pneumonia
128272009,http://purl.obolibrary.org/obo/MONDO_0000270,lower respiratory tract disorder
49558004,http://purl.obolibrary.org/obo/MONDO_0000271,tuberculous salpingitis
416707008,http://purl.obolibrary.org/obo/MONDO_0000276,Powassan encephalitis
302919001,http://purl.obolibrary.org/obo/MONDO_0000286,Epstein-Barr virus hepatitis
721816008,http://purl.obolibrary.org/obo/MONDO_0000290,primary amebic meningoencephalitis
230187000,http://purl.obolibrary.org/obo/MONDO_0000291,granulomatous amebic encephalitis
24360007,http://purl.obolibrary.org/obo/MONDO_0000293,coenurosis
85750001,http://purl.obolibrary.org/obo/MONDO_0000294,mesocestoidiasis
105713003,http://purl.obolibrary.org/obo/MONDO_0000295,acanthocephaliasis
40410004,http://purl.obolibrary.org/obo/MONDO_0000298,dioctophymiasis
46477004,http://purl.obolibrary.org/obo/MONDO_0000299,thelaziasis
48216006,http://purl.obolibrary.org/obo/MONDO_0000301,ophthalmomyiasis
4921002,http://purl.obolibrary.org/obo/MONDO_0000302,basidiobolomycosis
240783007,http://purl.obolibrary.org/obo/MONDO_0000303,conidiobolomycosis
372936000,http://purl.obolibrary.org/obo/MONDO_0000304,penicilliosis
713315007,http://purl.obolibrary.org/obo/MONDO_0000304,penicilliosis
240761008,http://purl.obolibrary.org/obo/MONDO_0000306,trichosporonosis
16059006,http://purl.obolibrary.org/obo/MONDO_0000309,aniseikonia
4996001,http://purl.obolibrary.org/obo/MONDO_0000313,hypophosphatemia
21857006,http://purl.obolibrary.org/obo/MONDO_0000320,glandular tularemia
398554008,http://purl.obolibrary.org/obo/MONDO_0000321,typhoidal tularemia
15845006,http://purl.obolibrary.org/obo/MONDO_0000327,Buruli ulcer disease
20165001,http://purl.obolibrary.org/obo/MONDO_0000328,hyperphosphatemia
21013006,http://purl.obolibrary.org/obo/MONDO_0000332,sennetsu fever
4359001,http://purl.obolibrary.org/obo/MONDO_0000333,early congenital syphilis
237570007,http://purl.obolibrary.org/obo/MONDO_0000334,multinodular goiter
54385001,http://purl.obolibrary.org/obo/MONDO_0000337,exanthema subitum
47452006,http://purl.obolibrary.org/obo/MONDO_0000338,variola major infectious disease
85579005,http://purl.obolibrary.org/obo/MONDO_0000342,O'nyong'nyong fever
602001,http://purl.obolibrary.org/obo/MONDO_0000344,Ross river fever
72880002,http://purl.obolibrary.org/obo/MONDO_0000345,Oropouche fever
43123004,http://purl.obolibrary.org/obo/MONDO_0000351,disorder of methionine catabolism
240062007,http://purl.obolibrary.org/obo/MONDO_0000355,Ullrich congenital muscular dystrophy
449790007,http://purl.obolibrary.org/obo/MONDO_0000358,orofacial cleft
415176004,http://purl.obolibrary.org/obo/MONDO_0000365,primary congenital glaucoma
69163003,http://purl.obolibrary.org/obo/MONDO_0000367,taeniasis
423997002,http://purl.obolibrary.org/obo/MONDO_0000368,extrapulmonary tuberculosis
447330002,http://purl.obolibrary.org/obo/MONDO_0000369,abdominal tuberculosis
92660005,http://purl.obolibrary.org/obo/MONDO_0000371,oral cavity carcinoma in situ
92681005,http://purl.obolibrary.org/obo/MONDO_0000372,pharynx carcinoma in situ
92557009,http://purl.obolibrary.org/obo/MONDO_0000375,bronchus carcinoma in situ
449096009,http://purl.obolibrary.org/obo/MONDO_0000376,respiratory system cancer
