icd10_id,icd10_lbl,mondo_id,mondo_lbl,hb_id,hb_lbl
A50,Congenital syphilis,http://purl.obolibrary.org/obo/MONDO_0005714,congenital syphilis,,
A925,Zika virus disease,http://purl.obolibrary.org/obo/MONDO_0018661,Zika virus infectious disease,,
E3451,Complete androgen insensitivity syndrome,http://purl.obolibrary.org/obo/MONDO_0021023,complete androgen insensitivity syndrome,,
E3452,Partial androgen insensitivity syndrome,http://purl.obolibrary.org/obo/MONDO_0010720,partial androgen insensitivity syndrome,,
E7872,Smith-Lemli-Opitz syndrome,http://purl.obolibrary.org/obo/MONDO_0010035,Smith-Lemli-Opitz syndrome,,
G601,Refsum's disease,http://purl.obolibrary.org/obo/MONDO_0009958,adult Refsum disease,,
G710,Muscular dystrophy,http://purl.obolibrary.org/obo/MONDO_0010181,oculogastrointestinal muscular dystrophy,,
G711,Myotonic disorders,http://purl.obolibrary.org/obo/MONDO_0035646,congenital-onset Steinert myotonic dystrophy,,
G7112,Myotonia congenita,http://purl.obolibrary.org/obo/MONDO_0009710,Thomsen and Becker disease,,
G80,Cerebral palsy,http://purl.obolibrary.org/obo/MONDO_0006497,cerebral palsy,,
P350,Congenital rubella syndrome,http://purl.obolibrary.org/obo/MONDO_0017361,congenital rubella syndrome,,
P371,Congenital toxoplasmosis,http://purl.obolibrary.org/obo/MONDO_0005715,congenital toxoplasmosis,,
Q000,Anencephaly,http://purl.obolibrary.org/obo/MONDO_0035401,isolated anencephaly,,
Q002,Iniencephaly,http://purl.obolibrary.org/obo/MONDO_0018968,iniencephaly,,
Q010,Frontal encephalocele,http://purl.obolibrary.org/obo/MONDO_0016020,frontal encephalocele,,
Q012,Occipital encephalocele,http://purl.obolibrary.org/obo/MONDO_0017079,meningoencephalocele,,
Q03,Congenital hydrocephalus,http://purl.obolibrary.org/obo/MONDO_0016349,congenital hydrocephalus,,
Q040,Congenital malformations of corpus callosum,http://purl.obolibrary.org/obo/MONDO_0026419,obsolete isolated corpus callosum agenesis,,
Q042,Holoprosencephaly,http://purl.obolibrary.org/obo/MONDO_0010610,holoprosencephaly-hypokinesia-congenital contractures syndrome,,
Q062,Diastematomyelia,http://purl.obolibrary.org/obo/MONDO_0009106,diastematomyelia,,
Q078,Other specified congenital malformations of nervous system,http://purl.obolibrary.org/obo/MONDO_0035159,dermoid or epidermoid cyst of the central nervous system,,
Q101,Congenital ectropion,http://purl.obolibrary.org/obo/MONDO_0019630,congenital ectropion uveae,,
Q123,Congenital aphakia,http://purl.obolibrary.org/obo/MONDO_0012456,congenital primary aphakia,,
Q124,Spherophakia,http://purl.obolibrary.org/obo/MONDO_0034977,obsolete isolated microspherophakia,,
Q134,Other congenital corneal malformations,http://purl.obolibrary.org/obo/MONDO_0000733,cornea plana,,
Q142,Congenital malformation of optic disc,http://purl.obolibrary.org/obo/MONDO_0034979,obsolete peripapillary staphyloma,,
Q158,Other specified congenital malformations of eye,http://purl.obolibrary.org/obo/MONDO_0031322,triopia,,
Q172,Microtia,http://purl.obolibrary.org/obo/MONDO_0010920,microtia,,
Q200,Common arterial trunk,,,http://purl.obolibrary.org/obo/HP_0001660,Truncus arteriosus
Q201,Double outlet right ventricle,http://purl.obolibrary.org/obo/MONDO_0018089,double outlet right ventricle,,
Q202,Double outlet left ventricle,,,http://purl.obolibrary.org/obo/HP_0011581,Double outlet left ventricle
Q204,Double inlet ventricle,,,http://purl.obolibrary.org/obo/HP_0011556,Double inlet right ventricle
Q205,Discordant atrioventricular connection,,,http://purl.obolibrary.org/obo/HP_0011540,Congenitally corrected transposition of the great arteries
Q206,Isomerism of atrial appendages,,,http://purl.obolibrary.org/obo/HP_0011537,Left atrial isomerism
Q211,Atrial septal defect,,,http://purl.obolibrary.org/obo/HP_0011643,Coronary sinus atrial septal defect
Q212,Atrioventricular septal defect,,,http://purl.obolibrary.org/obo/HP_0011565,Common atrium
Q213,Tetralogy of Fallot,http://purl.obolibrary.org/obo/MONDO_0008542,tetralogy of fallot,http://purl.obolibrary.org/obo/HP_0001636,Tetralogy of Fallot
Q221,Congenital pulmonary valve stenosis,http://purl.obolibrary.org/obo/MONDO_0017865,congenital pulmonary valve stenosis,,
Q224,Congenital tricuspid stenosis,http://purl.obolibrary.org/obo/MONDO_0011514,tricuspid atresia,http://purl.obolibrary.org/obo/HP_0011662,Tricuspid atresia
Q225,Ebstein's anomaly,,,http://purl.obolibrary.org/obo/HP_0010316,Ebstein anomaly of the tricuspid valve
Q226,Hypoplastic right heart syndrome,http://purl.obolibrary.org/obo/MONDO_0020291,hypoplastic right heart syndrome,,
Q228,Other congenital malformations of tricuspid valve,http://purl.obolibrary.org/obo/MONDO_0035314,obsolete congenital tricuspid valve dysplasia,,
Q23,Congenital malformations of aortic and mitral valves,http://purl.obolibrary.org/obo/MONDO_0019817,congenital mitral valve insufficiency and/or stenosis,,
Q232,Congenital mitral stenosis,http://purl.obolibrary.org/obo/MONDO_0015249,mitral atresia disorder,http://purl.obolibrary.org/obo/HP_0011560,Mitral atresia
Q234,Hypoplastic left heart syndrome,http://purl.obolibrary.org/obo/MONDO_0004933,hypoplastic left heart syndrome,,
Q240,Dextrocardia,,,http://purl.obolibrary.org/obo/HP_0001651,Dextrocardia
Q241,Levocardia,http://purl.obolibrary.org/obo/MONDO_0019862,levocardia,,
