icd10_id,icd10_lbl,mondo_id,mondo_lbl,mondo_score,hb_id,hb_lbl,hp_score
A50,Congenital syphilis,http://purl.obolibrary.org/obo/HP_0003577,Congenital onset,1,http://purl.obolibrary.org/obo/HP_0000519,Congenital cataract,1
A500,"Early congenital syphilis, symptomatic",http://purl.obolibrary.org/obo/MONDO_0002896,"early syphilis, symptomatic",2,http://purl.obolibrary.org/obo/HP_0000519,Bilateral congenital cataracts,3
A5001,Early congenital syphilitic oculopathy,http://purl.obolibrary.org/obo/MONDO_0000050,congenital IGHD,3,http://purl.obolibrary.org/obo/HP_0000519,Bilateral congenital cataracts,3
A5002,Early congenital syphilitic osteochondropathy,http://purl.obolibrary.org/obo/MONDO_0000050,congenital IGHD,3,http://purl.obolibrary.org/obo/HP_0000519,Bilateral congenital cataracts,3
A5003,Early congenital syphilitic pharyngitis,http://purl.obolibrary.org/obo/MONDO_0000050,congenital IGHD,3,http://purl.obolibrary.org/obo/HP_0000519,Bilateral congenital cataracts,3
A5004,Early congenital syphilitic pneumonia,http://purl.obolibrary.org/obo/MONDO_0000050,congenital IGHD,3,http://purl.obolibrary.org/obo/HP_0000519,Bilateral congenital cataracts,3
A5005,Early congenital syphilitic rhinitis,http://purl.obolibrary.org/obo/HP_0002257,Chronic rhinitis,3,http://purl.obolibrary.org/obo/HP_0000519,Bilateral congenital cataracts,3
A5006,Early cutaneous congenital syphilis,http://purl.obolibrary.org/obo/MONDO_0000333,early congenital syphilis,2,http://purl.obolibrary.org/obo/HP_0007396,Early cutaneous photosensitivity,2
A5007,Early mucocutaneous congenital syphilis,http://purl.obolibrary.org/obo/MONDO_0000333,early congenital syphilis,2,http://purl.obolibrary.org/obo/HP_0000519,Bilateral congenital cataracts,3
A5009,"Other early congenital syphilis, symptomatic",http://purl.obolibrary.org/obo/MONDO_0002896,"early syphilis, symptomatic",2,http://purl.obolibrary.org/obo/HP_0000519,Bilateral congenital cataracts,4
A501,"Early congenital syphilis, latent",http://purl.obolibrary.org/obo/MONDO_0000050,congenital IGHD,3,http://purl.obolibrary.org/obo/HP_0000519,Bilateral congenital cataracts,3
A502,"Early congenital syphilis, unspecified",http://purl.obolibrary.org/obo/MONDO_0000050,congenital IGHD,3,http://purl.obolibrary.org/obo/HP_0000519,Bilateral congenital cataracts,3
A503,Late congenital syphilitic oculopathy,http://purl.obolibrary.org/obo/HP_0003584,Late onset,3,http://purl.obolibrary.org/obo/HP_0000270,Late closing fontanelles,3
A5031,Late congenital syphilitic interstitial keratitis,http://purl.obolibrary.org/obo/MONDO_0001694,diffuse interstitial keratitis,3,http://purl.obolibrary.org/obo/HP_0000270,Late closing fontanelles,4
A5032,Late congenital syphilitic chorioretinitis,http://purl.obolibrary.org/obo/HP_0003584,Late onset,3,http://purl.obolibrary.org/obo/HP_0000270,Late closing fontanelles,3
A5039,Other late congenital syphilitic oculopathy,http://purl.obolibrary.org/obo/MONDO_0005821,late congenital syphilis,3,http://purl.obolibrary.org/obo/HP_0000270,Broad late closing cranial sutures,4
A504,Late congenital neurosyphilis [juvenile neurosyphilis],http://purl.obolibrary.org/obo/HP_0003584,Late onset,4,http://purl.obolibrary.org/obo/HP_0000270,Late closing fontanelles,4
A5040,"Late congenital neurosyphilis, unspecified",http://purl.obolibrary.org/obo/HP_0003584,Late onset,3,http://purl.obolibrary.org/obo/HP_0000270,Late closing fontanelles,3
A5041,Late congenital syphilitic meningitis,http://purl.obolibrary.org/obo/MONDO_0000936,syphilitic meningitis,2,http://purl.obolibrary.org/obo/HP_0000270,Late closing fontanelles,3
A5042,Late congenital syphilitic encephalitis,http://purl.obolibrary.org/obo/MONDO_0000937,syphilitic encephalitis,2,http://purl.obolibrary.org/obo/HP_0000270,Late closing fontanelles,3
