icd10_id,icd10_lbl,mondo/hbo
A5002,Early congenital syphilitic osteochondropathy,['http://purl.obolibrary.org/obo/MONDO_0000333']
A5005,Early congenital syphilitic rhinitis,['http://purl.obolibrary.org/obo/MONDO_0000333']
A5006,Early cutaneous congenital syphilis,['http://purl.obolibrary.org/obo/MONDO_0000333']
A5007,Early mucocutaneous congenital syphilis,['http://purl.obolibrary.org/obo/MONDO_0000333']
A5009,"Other early congenital syphilis, symptomatic",['http://purl.obolibrary.org/obo/MONDO_0000333']
A501,"Early congenital syphilis, latent","['http://purl.obolibrary.org/obo/MONDO_0000333', 'http://purl.obolibrary.org/obo/MONDO_0005822']"
A502,"Early congenital syphilis, unspecified","['http://purl.obolibrary.org/obo/MONDO_0000333', 'http://purl.obolibrary.org/obo/MONDO_0005976']"
A5040,"Late congenital neurosyphilis, unspecified",['http://purl.obolibrary.org/obo/MONDO_0004944']
A5041,Late congenital syphilitic meningitis,"['http://purl.obolibrary.org/obo/MONDO_0005821', 'http://purl.obolibrary.org/obo/MONDO_0000936']"
A5042,Late congenital syphilitic encephalitis,"['http://purl.obolibrary.org/obo/MONDO_0000937', 'http://purl.obolibrary.org/obo/MONDO_0005821']"
A5043,Late congenital syphilitic polyneuropathy,['http://purl.obolibrary.org/obo/MONDO_0005821']
A5049,Other late congenital neurosyphilis,['http://purl.obolibrary.org/obo/MONDO_0005977']
A505,"Other late congenital syphilis, symptomatic",['http://purl.obolibrary.org/obo/HP_0012413']
A5051,Clutton's joints,['http://purl.obolibrary.org/obo/MONDO_0005821']
A5052,Hutchinson's teeth,"['http://purl.obolibrary.org/obo/HP_0012413', 'http://purl.obolibrary.org/obo/HP_0011092']"
A5053,Hutchinson's triad,"['http://purl.obolibrary.org/obo/MONDO_0005821', 'http://purl.obolibrary.org/obo/HP_0012413']"
A5059,"Other late congenital syphilis, symptomatic",['http://purl.obolibrary.org/obo/MONDO_0005821']
A506,"Late congenital syphilis, latent","['http://purl.obolibrary.org/obo/MONDO_0005822', 'http://purl.obolibrary.org/obo/MONDO_0040923', 'http://purl.obolibrary.org/obo/MONDO_0005821']"
A507,"Late congenital syphilis, unspecified",['http://purl.obolibrary.org/obo/MONDO_0005821']
A509,"Congenital syphilis, unspecified",['http://purl.obolibrary.org/obo/MONDO_0005714']
A925,Zika virus disease,['http://purl.obolibrary.org/obo/MONDO_0018661']
D821,Di George's syndrome,"['http://purl.obolibrary.org/obo/HP_0005359', 'http://purl.obolibrary.org/obo/HP_0000778', 'http://purl.obolibrary.org/obo/MONDO_0008564', 'http://purl.obolibrary.org/obo/HP_0005359']"
