icd10_id,icd10_lbl,mondo/hbo urls,mondo/hpo labels
A5002,Early congenital syphilitic osteochondropathy,['http://purl.obolibrary.org/obo/MONDO_0000333'],['early congenital syphilis']
A5005,Early congenital syphilitic rhinitis,['http://purl.obolibrary.org/obo/MONDO_0000333'],['early congenital syphilis']
A5006,Early cutaneous congenital syphilis,['http://purl.obolibrary.org/obo/MONDO_0000333'],['early congenital syphilis']
A5007,Early mucocutaneous congenital syphilis,['http://purl.obolibrary.org/obo/MONDO_0000333'],['early congenital syphilis']
A5009,"Other early congenital syphilis, symptomatic",['http://purl.obolibrary.org/obo/MONDO_0000333'],['early congenital syphilis']
A501,"Early congenital syphilis, latent","['http://purl.obolibrary.org/obo/MONDO_0000333', 'http://purl.obolibrary.org/obo/MONDO_0005822']","['early congenital syphilis', 'latent syphilis']"
A502,"Early congenital syphilis, unspecified","['http://purl.obolibrary.org/obo/MONDO_0000333', 'http://purl.obolibrary.org/obo/MONDO_0005976']","['early congenital syphilis', 'syphilis']"
A5040,"Late congenital neurosyphilis, unspecified",['http://purl.obolibrary.org/obo/MONDO_0004944'],['neurosyphilis']
A5041,Late congenital syphilitic meningitis,"['http://purl.obolibrary.org/obo/MONDO_0005821', 'http://purl.obolibrary.org/obo/MONDO_0000936']","['late congenital syphilis', 'syphilitic meningitis']"
A5042,Late congenital syphilitic encephalitis,"['http://purl.obolibrary.org/obo/MONDO_0000937', 'http://purl.obolibrary.org/obo/MONDO_0005821']","['syphilitic encephalitis', 'late congenital syphilis']"
A5043,Late congenital syphilitic polyneuropathy,['http://purl.obolibrary.org/obo/MONDO_0005821'],['late congenital syphilis']
A5049,Other late congenital neurosyphilis,['http://purl.obolibrary.org/obo/MONDO_0005977'],['tabes dorsalis']
A505,"Other late congenital syphilis, symptomatic",['http://purl.obolibrary.org/obo/HP_0012413'],['Notched primary central incisor']
A5051,Clutton's joints,['http://purl.obolibrary.org/obo/MONDO_0005821'],['late congenital syphilis']
A5052,Hutchinson's teeth,"['http://purl.obolibrary.org/obo/HP_0012413', 'http://purl.obolibrary.org/obo/HP_0011092']","['Notched primary central incisor', 'Mulberry molar']"
A5053,Hutchinson's triad,"['http://purl.obolibrary.org/obo/MONDO_0005821', 'http://purl.obolibrary.org/obo/HP_0012413']","['late congenital syphilis', 'Notched primary central incisor']"
A5059,"Other late congenital syphilis, symptomatic",['http://purl.obolibrary.org/obo/MONDO_0005821'],['late congenital syphilis']
A506,"Late congenital syphilis, latent","['http://purl.obolibrary.org/obo/MONDO_0005822', 'http://purl.obolibrary.org/obo/MONDO_0040923', 'http://purl.obolibrary.org/obo/MONDO_0005821']","['latent syphilis', 'late latent syphilis', 'late congenital syphilis']"
A507,"Late congenital syphilis, unspecified",['http://purl.obolibrary.org/obo/MONDO_0005821'],['late congenital syphilis']
A509,"Congenital syphilis, unspecified",['http://purl.obolibrary.org/obo/MONDO_0005714'],['congenital syphilis']
A925,Zika virus disease,['http://purl.obolibrary.org/obo/MONDO_0018661'],['Zika virus infectious disease']
D821,Di George's syndrome,"['http://purl.obolibrary.org/obo/HP_0005359', 'http://purl.obolibrary.org/obo/HP_0000778', 'http://purl.obolibrary.org/obo/MONDO_0008564', 'http://purl.obolibrary.org/obo/HP_0005359']","['Aplasia of the thymus', 'Hypoplasia of the thymus', 'DiGeorge syndrome', 'Aplasia of the thymus']"
E250,Congenital adrenogenital disorders associated with enzyme deficiency,"['http://purl.obolibrary.org/obo/MONDO_0008727', 'http://purl.obolibrary.org/obo/MONDO_0008725', 'http://purl.obolibrary.org/obo/MONDO_0008728', 'http://purl.obolibrary.org/obo/MONDO_0045008', 'http://purl.obolibrary.org/obo/MONDO_0045016', 'http://purl.obolibrary.org/obo/HP_0000840', 'http://purl.obolibrary.org/obo/MONDO_0008730', 'http://purl.obolibrary.org/obo/MONDO_0013310', 'http://purl.obolibrary.org/obo/MONDO_0018479', 'http://purl.obolibrary.org/obo/HP_0008258', 'http://purl.obolibrary.org/obo/HP_0000037', 'http://purl.obolibrary.org/obo/MONDO_0009123', 'http://purl.obolibrary.org/obo/MONDO_0013664', 'http://purl.obolibrary.org/obo/MONDO_0008751', 'http://purl.obolibrary.org/obo/MONDO_0008728', 'http://purl.obolibrary.org/obo/MONDO_0008729', 'http://purl.obolibrary.org/obo/MONDO_0017576', 'http://purl.obolibrary.org/obo/HP_0010458', 'http://purl.obolibrary.org/obo/MONDO_0015900', 'http://purl.obolibrary.org/obo/HP_0004319', 'http://purl.obolibrary.org/obo/MONDO_0010264', 'http://purl.obolibrary.org/obo/HP_0008244']","['congenital adrenal hyperplasia due to 3-beta-hydroxysteroid dehydrogenase deficiency', 'congenital lipoid adrenal hyperplasia due to STAR deficency', 'classic congenital adrenal hyperplasia due to 21-hydroxylase deficiency', 'cholesterol metabolism disease', 'cholesterol catabolic process disease', 'Adrenogenital syndrome', 'congenital adrenal hyperplasia due to 17-alpha-hydroxylase deficiency', 'congenital adrenal hyperplasia due to cytochrome P450 oxidoreductase deficiency', 'congenital adrenal hyperplasia', 'Congenital adrenal hyperplasia', 'Male pseudohermaphroditism', 'orthostatic hypotension 1', '46,XY disorder of sex development due to testicular 17,20-desmolase deficiency', 'corticosterone methyloxidase type 1 deficiency', 'classic congenital adrenal hyperplasia due to 21-hydroxylase deficiency', 'congenital adrenal hyperplasia due to 11-beta-hydroxylase deficiency', '46,XX disorder of sex development', 'Female pseudohermaphroditism', 'hypoaldosteronism disease', 'Decreased circulating aldosterone concentration', 'X-linked adrenal hypoplasia congenita', 'Congenital adrenal hypoplasia']"
E258,Other adrenogenital disorders,"['http://purl.obolibrary.org/obo/MONDO_0021752', 'http://purl.obolibrary.org/obo/MONDO_0015791', 'http://purl.obolibrary.org/obo/MONDO_0000088', 'http://purl.obolibrary.org/obo/HP_0000826', 'http://purl.obolibrary.org/obo/MONDO_0002145', 'http://purl.obolibrary.org/obo/HP_0010465']","['Achard-Thiers syndrome', 'peripheral precocious puberty', 'precocious puberty', 'Precocious puberty', 'disorder of sexual differentiation', 'Precocious puberty in females']"
E259,"Adrenogenital disorder, unspecified","['http://purl.obolibrary.org/obo/MONDO_0001324', 'http://purl.obolibrary.org/obo/HP_0000840', 'http://purl.obolibrary.org/obo/MONDO_0015898', 'http://purl.obolibrary.org/obo/HP_0000840', 'http://purl.obolibrary.org/obo/MONDO_0045023', 'http://purl.obolibrary.org/obo/MONDO_0021752', 'http://purl.obolibrary.org/obo/MONDO_0009916']","['obsolete hyperandrogenism', 'Adrenogenital syndrome', 'adrenogenital syndrome', 'Adrenogenital syndrome', 'acquired adrenogenital syndrome', 'Achard-Thiers syndrome', '46,XY disorder of sex development due to 17-beta-hydroxysteroid dehydrogenase 3 deficiency']"
E343,Short stature due to endocrine disorder,"['http://purl.obolibrary.org/obo/MONDO_0016994', 'http://purl.obolibrary.org/obo/MONDO_0017350', 'http://purl.obolibrary.org/obo/MONDO_0009876', 'http://purl.obolibrary.org/obo/HP_0003510', 'http://purl.obolibrary.org/obo/HP_0000839', 'http://purl.obolibrary.org/obo/MONDO_1030010', 'http://purl.obolibrary.org/obo/MONDO_0010157', 'http://purl.obolibrary.org/obo/MONDO_0012104', 'http://purl.obolibrary.org/obo/HP_0003510', 'http://purl.obolibrary.org/obo/MONDO_0008743', 'http://purl.obolibrary.org/obo/HP_0004322', 'http://purl.obolibrary.org/obo/HP_0002750', 'http://purl.obolibrary.org/obo/MONDO_0009569', 'http://purl.obolibrary.org/obo/MONDO_0010038', 'http://purl.obolibrary.org/obo/MONDO_0009616', 'http://purl.obolibrary.org/obo/MONDO_0009649', 'http://purl.obolibrary.org/obo/MONDO_0007417', 'http://purl.obolibrary.org/obo/MONDO_0010217', 'http://purl.obolibrary.org/obo/MONDO_0016571', 'http://purl.obolibrary.org/obo/HP_0003361', 'http://purl.obolibrary.org/obo/MONDO_0021745', 'http://purl.obolibrary.org/obo/MONDO_0008872', 'http://purl.obolibrary.org/obo/MONDO_0014403', 'http://purl.obolibrary.org/obo/MONDO_0009858', 'http://purl.obolibrary.org/obo/HP_0000268', 'http://purl.obolibrary.org/obo/MONDO_0100211', 'http://purl.obolibrary.org/obo/MONDO_0014043', 'http://purl.obolibrary.org/obo/MONDO_0012110', 'http://purl.obolibrary.org/obo/MONDO_0017041', 'http://purl.obolibrary.org/obo/MONDO_0014420', 'http://purl.obolibrary.org/obo/MONDO_0005189', 'http://purl.obolibrary.org/obo/MONDO_0009877', 'http://purl.obolibrary.org/obo/MONDO_0017927', 'http://purl.obolibrary.org/obo/MONDO_0007277', 'http://purl.obolibrary.org/obo/MONDO_0008499']","['microcephalic osteodysplastic primordial dwarfism types I and III', 'inborn disorder of tryptophan metabolism', 'isolated growth hormone deficiency type IA', 'Severe short stature', 'Pituitary dwarfism', 'precerebral artery stenosis', 'Tryptophanuria with dwarfism', 'acquired partial lipodystrophy', 'Severe short stature', 'Stimmler syndrome', 'Short stature', 'Delayed skeletal maturation', 'Hennekam-Beemer syndrome', 'growth delay due to insulin-like growth factor I resistance', 'microcephalic primordial dwarfism, Toriello type', 'moyamoya disease 1', 'Darier disease', 'de Sanctis-Cacchione syndrome', 'macrocephaly-short stature-paraplegia syndrome', 'Tryptophanuria', 'psychosocial short stature', 'microcephalic osteodysplastic primordial dwarfism type II', 'short stature due to GHSR deficiency', 'Pfeiffer-Palm-Teller syndrome', 'Dolichocephaly', 'growth hormone insensitivity with immune dysregulation 1, autosomal recessive', 'microcephalic primordial dwarfism due to ZNF335 deficiency', 'growth delay due to insulin-like growth factor type 1 deficiency', 'osteochondrodysplatic nanism-deafness-retinitis pigmentosa syndrome', 'short stature due to primary acid-labile subunit deficiency', 'internal carotid artery stenosis', 'Laron syndrome', 'severe lateral tibial bowing with short stature', 'cataract-aberrant oral frenula-growth delay syndrome', 'short stature-wormian bones-dextrocardia syndrome']"
E345,Androgen insensitivity syndrome,"['http://purl.obolibrary.org/obo/MONDO_0021023', 'http://purl.obolibrary.org/obo/MONDO_0019154', 'http://purl.obolibrary.org/obo/MONDO_0010720']","['complete androgen insensitivity syndrome', 'androgen insensitivity syndrome', 'partial androgen insensitivity syndrome']"
E3450,"Androgen insensitivity syndrome, unspecified","['http://purl.obolibrary.org/obo/HP_0000037', 'http://purl.obolibrary.org/obo/MONDO_0019154', 'http://purl.obolibrary.org/obo/MONDO_0010720']","['Male pseudohermaphroditism', 'androgen insensitivity syndrome', 'partial androgen insensitivity syndrome']"
E3451,Complete androgen insensitivity syndrome,"['http://purl.obolibrary.org/obo/MONDO_0019154', 'http://purl.obolibrary.org/obo/MONDO_0021023']","['androgen insensitivity syndrome', 'complete androgen insensitivity syndrome']"
E3452,Partial androgen insensitivity syndrome,"['http://purl.obolibrary.org/obo/HP_0000037', 'http://purl.obolibrary.org/obo/MONDO_0010720', 'http://purl.obolibrary.org/obo/MONDO_0019154', 'http://purl.obolibrary.org/obo/MONDO_0005518']","['Male pseudohermaphroditism', 'partial androgen insensitivity syndrome', 'androgen insensitivity syndrome', 'pseudohermaphroditism']"
E7872,Smith-Lemli-Opitz syndrome,"['http://purl.obolibrary.org/obo/MONDO_0045008', 'http://purl.obolibrary.org/obo/MONDO_0045017', 'http://purl.obolibrary.org/obo/MONDO_0010035']","['cholesterol metabolism disease', 'cholesterol biosynthetic process disease', 'Smith-Lemli-Opitz syndrome']"
G120,"Infantile spinal muscular atrophy, type I [Werdnig-Hoffman]","['http://purl.obolibrary.org/obo/MONDO_0009669', 'http://purl.obolibrary.org/obo/MONDO_0003182', 'http://purl.obolibrary.org/obo/HP_0006802', 'http://purl.obolibrary.org/obo/MONDO_0001516', 'http://purl.obolibrary.org/obo/HP_0007269']","['spinal muscular atrophy, type 1', 'anterior horn disorder', 'Abnormal anterior horn cell morphology', 'spinal muscular atrophy', 'Spinal muscular atrophy']"
G121,Other inherited spinal muscular atrophy,"['http://purl.obolibrary.org/obo/MONDO_0010839', 'http://purl.obolibrary.org/obo/MONDO_0011436', 'http://purl.obolibrary.org/obo/MONDO_0009672', 'http://purl.obolibrary.org/obo/MONDO_0018894', 'http://purl.obolibrary.org/obo/MONDO_0016113', 'http://purl.obolibrary.org/obo/MONDO_0010056', 'http://purl.obolibrary.org/obo/MONDO_0008408', 'http://purl.obolibrary.org/obo/MONDO_0018687', 'http://purl.obolibrary.org/obo/MONDO_0008891', 'http://purl.obolibrary.org/obo/MONDO_0008890', 'http://purl.obolibrary.org/obo/MONDO_0010338', 'http://purl.obolibrary.org/obo/MONDO_0001516', 'http://purl.obolibrary.org/obo/HP_0007269', 'http://purl.obolibrary.org/obo/MONDO_0009673', 'http://purl.obolibrary.org/obo/MONDO_0010532', 'http://purl.obolibrary.org/obo/MONDO_0009072', 'http://purl.obolibrary.org/obo/HP_0001305', 'http://purl.obolibrary.org/obo/MONDO_0011585', 'http://purl.obolibrary.org/obo/MONDO_0100428', 'http://purl.obolibrary.org/obo/MONDO_0008045', 'http://purl.obolibrary.org/obo/MONDO_0021113']","['neuronopathy, distal hereditary motor, autosomal dominant 8', 'autosomal recessive distal spinal muscular atrophy 1', 'spinal muscular atrophy, type III', 'distal hereditary motor neuropathy', 'bulbospinal muscular atrophy', 'spinal muscular atrophy, type IV', 'scapuloperoneal spinal muscular atrophy, autosomal dominant', 'progressive muscular atrophy', 'riboflavin transporter deficiency', 'progressive bulbar palsy', 'X-linked distal spinal muscular atrophy type 3', 'spinal muscular atrophy', 'Spinal muscular atrophy', 'spinal muscular atrophy, type II', 'infantile-onset X-linked spinal muscular atrophy', 'Dandy-Walker syndrome', 'Dandy-Walker malformation', 'autosomal recessive distal spinal muscular atrophy 2', 'progressive bulbar palsy of childhood', 'spinal muscular atrophy-progressive myoclonic epilepsy syndrome', 'respiratory failure']"
G129,"Spinal muscular atrophy, unspecified","['http://purl.obolibrary.org/obo/MONDO_0007435', 'http://purl.obolibrary.org/obo/HP_0002123', 'http://purl.obolibrary.org/obo/MONDO_0018894', 'http://purl.obolibrary.org/obo/MONDO_0001516', 'http://purl.obolibrary.org/obo/HP_0007269', 'http://purl.obolibrary.org/obo/MONDO_0008045']","['dentatorubral-pallidoluysian atrophy', 'Generalized myoclonic seizure', 'distal hereditary motor neuropathy', 'spinal muscular atrophy', 'Spinal muscular atrophy', 'spinal muscular atrophy-progressive myoclonic epilepsy syndrome']"
