icd10_id,icd10_lbl,mondo/hbo urls,mondo/hpo labels
A500,"Early congenital syphilis, symptomatic",[],[]
A5001,Early congenital syphilitic oculopathy,[],[]
A503,Late congenital syphilitic oculopathy,[],[]
A5031,Late congenital syphilitic interstitial keratitis,[],[]
A504,Late congenital neurosyphilis [juvenile neurosyphilis],[],[]
A5044,Late congenital syphilitic optic nerve atrophy,[],[]
A5045,Juvenile general paresis,[],[]
A5054,Late congenital cardiovascular syphilis,[],[]
K4000,"Bilateral inguinal hernia, with obstruction, without gangrene, not specified as recurrent",[],[]
K401,"Bilateral inguinal hernia, with gangrene",[],[]
K4010,"Bilateral inguinal hernia, with gangrene, not specified as recurrent",[],[]
K402,"Bilateral inguinal hernia, without obstruction or gangrene",[],[]
K4020,"Bilateral inguinal hernia, without obstruction or gangrene, not specified as recurrent",[],[]
K403,"Unilateral inguinal hernia, with obstruction, without gangrene",[],[]
K4030,"Unilateral inguinal hernia, with obstruction, without gangrene, not specified as recurrent",[],[]
K4040,"Unilateral inguinal hernia, with gangrene, not specified as recurrent",[],[]
K410,"Bilateral femoral hernia, with obstruction, without gangrene",[],[]
K4100,"Bilateral femoral hernia, with obstruction, without gangrene, not specified as recurrent",[],[]
K411,"Bilateral femoral hernia, with gangrene",[],[]
K4110,"Bilateral femoral hernia, with gangrene, not specified as recurrent",[],[]
K412,"Bilateral femoral hernia, without obstruction or gangrene",[],[]
K4120,"Bilateral femoral hernia, without obstruction or gangrene, not specified as recurrent",[],[]
K413,"Unilateral femoral hernia, with obstruction, without gangrene",[],[]
K4130,"Unilateral femoral hernia, with obstruction, without gangrene, not specified as recurrent",[],[]
K414,"Unilateral femoral hernia, with gangrene",[],[]
K4140,"Unilateral femoral hernia, with gangrene, not specified as recurrent",[],[]
M2603,Mandibular hyperplasia,[],[]
M2605,Macrogenia,[],[]
M2606,Microgenia,[],[]
O364,Maternal care for intrauterine death,[],[]
P028,Newborn affected by other abnormalities of membranes,[],[]
P370,Congenital tuberculosis,[],[]
Q030,Malformations of aqueduct of Sylvius,[],[]
Q038,Other congenital hydrocephalus,[],[]
Q052,Lumbar spina bifida with hydrocephalus,[],[]
Q053,Sacral spina bifida with hydrocephalus,[],[]
Q061,Hypoplasia and dysplasia of spinal cord,[],[]
Q063,Other congenital cauda equina malformations,[],[]
Q129,"Congenital lens malformation, unspecified",[],[]
Q149,"Congenital malformation of posterior segment of eye, unspecified",[],[]
Q186,Macrocheilia,[],[]
Q209,"Congenital malformation of cardiac chambers and connections, unspecified",[],[]
Q229,"Congenital malformation of tricuspid valve, unspecified",[],[]
Q2541,Absence and aplasia of aorta,[],[]
Q2544,Congenital dilation of aorta,[],[]
Q2546,Tortuous aortic arch,[],[]
Q2548,Anomalous origin of subclavian artery,[],[]
Q2571,Coarctation of pulmonary artery,[],[]
Q265,Anomalous portal venous connection,[],[]
Q266,Portal vein-hepatic artery fistula,[],[]
Q272,Other congenital malformations of renal artery,[],[]
Q2731,Arteriovenous malformation of vessel of upper limb,[],[]
Q2732,Arteriovenous malformation of vessel of lower limb,[],[]
Q2734,Arteriovenous malformation of renal vessel,[],[]
Q274,Congenital phlebectasia,[],[]
Q303,Congenital perforated nasal septum,[],[]
Q331,Accessory lobe of lung,[],[]
Q334,Congenital bronchiectasis,[],[]
Q335,Ectopic tissue in lung,[],[]
Q341,Congenital cyst of mediastinum,[],[]
Q349,"Congenital malformation of respiratory system, unspecified",[],[]
Q370,Cleft hard palate with bilateral cleft lip,[],[]
Q374,Cleft hard and soft palate with bilateral cleft lip,[],[]
Q387,Congenital pharyngeal pouch,[],[]
Q403,"Congenital malformation of stomach, unspecified",[],[]
Q408,Other specified congenital malformations of upper alimentary tract,[],[]
Q409,"Congenital malformation of upper alimentary tract, unspecified",[],[]
Q420,"Congenital absence, atresia and stenosis of rectum with fistula",[],[]
Q428,"Congenital absence, atresia and stenosis of other parts of large intestine",[],[]
Q501,Developmental ovarian cyst,[],[]
Q502,Congenital torsion of ovary,[],[]
Q5031,Accessory ovary,[],[]
Q514,Unicornate uterus,[],[]
Q516,Embryonic cyst of cervix,[],[]
Q517,Congenital fistulae between uterus and digestive and urinary tracts,[],[]
Q51810,Arcuate uterus,[],[]
Q51828,Other congenital malformations of cervix,[],[]
Q525,Fusion of labia,[],[]
Q526,Congenital malformation of clitoris,[],[]
Q527,Other and unspecified congenital malformations of vulva,[],[]
Q5270,Unspecified congenital malformations of vulva,[],[]
Q5271,Congenital absence of vulva,[],[]
Q5279,Other congenital malformations of vulva,[],[]
Q530,Ectopic testis,[],[]
Q5300,"Ectopic testis, unspecified",[],[]
Q5561,Curvature of penis (lateral),[],[]
Q5563,Congenital torsion of penis,[],[]
Q5564,Hidden penis,[],[]
Q624,Agenesis of ureter,[],[]
